objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,1-CNSM-IRM%20glass%20neg.jpg,,,View South from Harrison St.,,1925-05-19,Distant view SW from CNW track showing west approach to bridge on NS&W,,,,,Illinois Railway Museum's Strahorn Library,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,2-CNSM-IRM%20glass%20neg.jpg,,,Removing Harrison St Overhead Evanston ILLS,,02/18/1926,Steam crane lifting section of NS&W bridge,,,,,Illinois Railway Museum's Strahorn Library,,Image;StillImage,image/jpeg,eng,Public domain,
coll003,3-CNSM-IRM%20glass%20neg.jpg,,,Rail Bond Welding,,03/24/1926,Large rail bond welding crew working near crossover,,,,,Illinois Railway Museum's Strahorn Library,,Image;StillImage,image/jpeg,eng,Public domain,
coll004,4-CNSM-IRM%20glass%20neg.jpg,,,Asbury Ave View N.E.,,12/26/1924,"View NE from embankment Asbury, showing steel columns for stations, forms for platform mostly complete",,,,,Illinois Railway Museum's Strahorn Library,,Image;StillImage,image/jpeg,eng,Public domain,
coll005,5-CNSM-IRM%20glass%20neg.jpg,,,Auto-Substation North of Main St.,,12/26/1924,"Exterior view SE of substation building at Main St, Niles Center",,,,,Illinois Railway Museum's Strahorn Library,,Image;StillImage,image/jpeg,eng,Public domain,
coll006,6-CNSM-IRM%20glass%20neg.jpg,,,Interior Schreiber Rd Station Final Progress Construction photo,,04/23/1925,"Final interior photo of Kostner station, view W, showing entrance to station house and ticket booth",,,,,Illinois Railway Museum's Strahorn Library,,Image;StillImage,image/jpeg,eng,Public domain,
coll007,7-CNSM-IRM%20glass%20neg.jpg,,,Skokie Valley Line Substation No 1,,12/31/1925,"View NW showing construction Lake Av substation building, high tension tower being constructed",,,,,Illinois Railway Museum's Strahorn Library,,Image;StillImage,image/jpeg,eng,Public domain,
coll008,8-CNSM-IRM%20glass%20neg.jpg,,,Auto-Substation No 2 Skokie Valley Line,,12/17/1925,"View NE building being constructed, Kotz Rd substation Northbrook",,,,,Illinois Railway Museum's Strahorn Library,,Image;StillImage,image/jpeg,eng,Public domain,
coll009,9-CNSM-IRM%20glass%20neg.jpg,,,Substation No 1,,12/03/1925,"View NW Lake Av substation, men working on high tension tower",,,,,Illinois Railway Museum's Strahorn Library,,Image;StillImage,image/jpeg,eng,Public domain,
coll010,10-CNSM-IRM%20glass%20neg.jpg,,,Auto-Substation North of Main St.,,01/09/1925,Interior view construction progress of substation,,,,,Illinois Railway Museum's Strahorn Library,,Image;StillImage,image/jpeg,eng,Public domain,
coll011,11-CNSM-IRM%20glass%20neg.jpg,,,Auto-Substation No 3 Skokie Valley Line,,12/17/1925,"Exterior view, substation building under construction",,,,,Illinois Railway Museum's Strahorn Library,,Image;StillImage,image/jpeg,eng,Public domain,
coll012,12-CNSM-IRM%20glass%20neg.jpg,,,"Poster, Washington Park Milwaukee by the North Shore Line",,,,,,,,Illinois Railway Museum's Strahorn Library,,Image;StillImage,image/jpeg,eng,Public domain,
coll013,13-CNSM-IRM%20glass%20neg.jpg,,,"Poster, Milwaukee with fountain",,,,,,,,Illinois Railway Museum's Strahorn Library,,Image;StillImage,image/jpeg,eng,Public domain,
coll014,14-CNSM-IRM%20glass%20neg.jpg,,,"Poster, Suburban Communities by the North Shore Line",,,,,,,,Illinois Railway Museum's Strahorn Library,,Image;StillImage,image/jpeg,eng,Public domain,
coll015,15-CNSM-IRM%20glass%20neg.jpg,,,"Poster, Autumn Woods North Shore Line",,,,,,,,Illinois Railway Museum's Strahorn Library,,Image;StillImage,image/jpeg,eng,Public domain,
coll016,16-CNSM-IRM%20glass%20neg.jpg,,,"Poster, Northern Michigan Resorts - Pere Marquette Steamers",,,,,,,,Illinois Railway Museum's Strahorn Library,,Image;StillImage,image/jpeg,eng,Public domain,
coll017,17-CNSM-IRM%20glass%20neg.jpg,,,waiting room at Adams & Wabash,,,,,,,,Illinois Railway Museum's Strahorn Library,,Image;StillImage,image/jpeg,eng,Public domain,
coll018,18-CNSM-IRM%20glass%20neg.jpg,,,"Poster, Green Bay Trail",,,,,,,,Illinois Railway Museum's Strahorn Library,,Image;StillImage,image/jpeg,eng,Public domain,
